ID_kinopoisk,week,month,screens,budget,age_R,time,genre_box_buget,genre_avr_kinopoisk_R,genre_avr_box,genre_avr_views,genre2_box_buget,genre2_avr_kinopoisk_R,genre2_avr_box,genre2_avr_views,dir_box_buget,dir_avr_kinopoisk_R,dir_avr_box,dir_avr_views,skr1_box_buget,skr1_avr_kinopoisk_R,skr1_avr_box,skr1_avr_views,skr2_box_buget,skr2_avr_kinopoisk_R,skr2_avr_box,skr2_avr_views,box_budget,kinopoisk_R,box,views,rezult,rezult4
70952.0,7,2,100,46096480.0,12.0,115.0,0.51,6.18,66377566,0,0.93,5.46,77988391.0,374342.0,0.44,6.08,49859000,390000,1.17,7.4,54000000.0,551000.0,1.17,7.4,54000000.0,551000.0,1.17,7.4,54000000,551000,0,1
77396.0,14,4,117,57620600.0,0.0,98.0,0.94,5.23,181394667,0,1.02,5.97,123483955.0,567237.0,0.56,4.3,37915600,320200,0.74,5.56,80800000.0,608200.0,0.78,4.8,45000000.0,464000.0,0.78,4.8,45000000,464000,0,0
79850.0,28,7,315,121003260.0,16.0,115.0,0.94,5.23,181394667,0,0.99,5.03,162379971.0,1074947.0,4.24,5.88,646912500,4028625,1.66,6.48,157315000.0,1522075.0,1.66,6.33,209666667.0,2029000.0,3.84,6.1,465000000,4400000,1,3
253754.0,40,9,47,46096480.0,12.0,101.0,0.51,6.18,66377566,0,0.93,5.66,77988391.0,374342.0,0.1,5.46,4140333,24410,0.77,5.56,18348600.0,88300.0,0.25,5.9,24275000.0,124000.0,0.16,6.4,7300000,61000,0,0
252013.0,44,10,188,57620600.0,6.0,90.0,1.19,6.07,148983326,0,0.93,5.66,77988391.0,374342.0,0.33,6.7,19000000,295000,0.33,6.7,19000000.0,295000.0,0.33,6.7,19000000.0,295000.0,0.33,6.7,19000000,295000,0,0
85104.0,44,10,93,86430900.0,0.0,80.0,0.86,5.34,141798727,0,0.27,4.61,44468200.0,242140.0,0.11,4.7,9800000,142000,0.11,4.7,9800000.0,142000.0,0.11,4.7,9800000.0,142000.0,0.11,4.7,9800000,142000,0,0
81201.0,46,11,35,57620600.0,16.0,100.0,1.88,5.36,129218872,0,0.93,5.66,77988391.0,374342.0,0.34,6.69,17494000,83383,0.58,6.39,45765429.0,201541.0,0.25,5.9,24275000.0,124000.0,0.07,6.4,4000000,34000,0,0
81202.0,50,12,300,201672100.0,12.0,105.0,0.86,5.34,141798727,0,1.31,5.47,48521300.0,327280.0,0.43,5.8,69500000,610500,0.62,5.9,126000000.0,1100000.0,0.62,5.9,126000000.0,1100000.0,0.62,5.9,126000000,1100000,0,0
81041.0,52,12,200,115241200.0,12.0,79.0,1.88,5.36,129218872,0,1.02,5.45,110578661.0,554570.0,1.84,7.25,326000000,1714000,0.56,5.45,40391800.0,271760.0,0.42,7.7,48000000.0,628000.0,0.42,7.7,48000000,628000,0,0
208105.0,53,12,14,43215450.0,16.0,94.0,1.88,5.36,129218872,0,0.93,5.66,77988391.0,374342.0,0.03,5.4,1671333,12467,1.96,5.6,117600000.0,512000.0,0.25,5.9,24275000.0,124000.0,0.05,7.5,2100000,18000,0,0
104958.0,3,1,130,14144600.0,12.0,105.0,1.88,5.36,129218872,0,1.31,5.47,48521300.0,327280.0,2.16,4.8,457000000,2008250,2.83,6.25,51000000.0,398500.0,0.25,5.9,24275000.0,124000.0,5.23,4.7,74000000,633000,1,3
85127.0,4,1,73,70723000.0,16.0,85.0,1.88,5.36,129218872,0,0.93,5.46,77988391.0,374342.0,0.13,6.7,9100000,80000,0.13,6.7,9100000.0,80000.0,0.25,5.9,24275000.0,124000.0,0.13,6.7,9100000,80000,0,0
254806.0,6,2,22,28289200.0,18.0,112.0,1.88,5.36,129218872,0,0.72,6.04,64354863.0,319428.0,0.79,6.73,57975000,318625,0.05,6.7,1300000.0,11000.0,1.01,6.85,43650000.0,334000.0,0.05,6.7,1300000,11000,0,0
40775.0,9,2,367,113156800.0,16.0,130.0,0.86,5.34,141798727,0,0.93,5.46,77988391.0,374342.0,1.76,6.18,386250000,2346750,3.26,7.3,369000000.0,3300000.0,1.78,6.07,312666667.0,2295667.0,4.71,7.2,533000000,4900000,1,3
81485.0,12,3,320,99012200.0,16.0,132.0,0.51,6.18,66377566,0,0.99,5.03,162379971.0,1074947.0,2.39,6.58,843250000,3650000,2.36,6.13,652166667.0,3033333.0,0.25,5.9,24275000.0,124000.0,2.25,6.5,223000000,2300000,1,2
95943.0,13,3,137,42433800.0,16.0,93.0,1.88,5.36,129218872,0,0.93,5.66,77988391.0,374342.0,1.83,5.45,112950000,803250,1.32,5.58,131646923.0,907207.0,0.25,5.9,24275000.0,124000.0,0.87,5.7,37000000,331000,0,0
81203.0,14,3,270,50920560.0,16.0,110.0,0.79,5.96,52280641,0,0.72,6.04,64354863.0,319428.0,0.69,5.05,50791800,318540,1.2,6.7,61000000.0,538000.0,1.2,6.7,61000000.0,538000.0,1.2,6.7,61000000,538000,0,1
94111.0,17,4,352,113156800.0,16.0,127.0,0.79,5.96,52280641,0,0.72,6.04,64354863.0,319428.0,0.98,5.73,111333333,879667,3.26,7.3,369000000.0,3300000.0,0.25,5.9,24275000.0,124000.0,1.81,7.4,205000000,1700000,0,1
418372.0,21,5,30,70723000.0,18.0,80.0,1.88,5.36,129218872,0,0.93,5.66,77988391.0,374342.0,0.03,5.2,1900000,16000,0.03,5.2,1900000.0,16000.0,0.25,5.9,24275000.0,124000.0,0.03,5.2,1900000,16000,0,0
84830.0,23,6,222,56578400.0,16.0,111.0,1.88,5.36,129218872,0,1.31,5.47,48521300.0,327280.0,0.87,6.85,31733333,225167,0.58,6.38,36627200.0,263120.0,2.12,7.2,120000000.0,915000.0,2.12,7.2,120000000,915000,1,2
103737.0,28,7,60,56578400.0,18.0,90.0,0.51,6.18,66377566,0,0.93,5.66,77988391.0,374342.0,0.32,6.29,109785714,488857,0.12,6.03,9652286.0,62400.0,0.25,5.9,24275000.0,124000.0,0.51,6.8,29000000,266000,0,0
84464.0,31,7,172,42433800.0,16.0,105.0,1.88,5.36,129218872,0,1.31,5.47,48521300.0,327280.0,3.74,5.6,270500000,1598500,0.49,5.87,29333333.0,237333.0,0.54,5.9,23000000.0,197000.0,0.54,5.9,23000000,197000,0,0
84225.0,34,8,114,56578400.0,16.0,90.0,1.88,5.36,129218872,0,0.93,5.66,77988391.0,374342.0,0.43,5.8,69500000,610500,1.32,5.58,131646923.0,907207.0,0.25,5.9,24275000.0,124000.0,0.23,5.7,13000000,121000,0,0
